Date,Open,High,Low,Close,Volume
09/23/2020,0.008516,0.008801,0.008359,0.008571,1790000000
09/22/2020,0.008167,0.008751,0.007571,0.008516,2470000000
09/21/2020,0.009055,0.009099,0.008049,0.008172,2880000000
09/18/2020,0.00905,0.009141,0.008506,0.009055,2650000000
09/17/2020,0.009173,0.009655,0.009,0.009053,3510000000
09/16/2020,0.009094,0.009302,0.008949,0.009172,2480000000
09/15/2020,0.009235,0.009365,0.008806,0.009094,3070000000
09/14/2020,0.00937,0.009546,0.009095,0.009235,3590000000
09/11/20,0.009398,0.009827,0.008373,0.009373,6690000000
09/10/20,0.008672,0.010064,0.008329,0.0094,7540000000
09/09/20,0.008068,0.008669,0.007779,0.008669,3980000000
09/08/20,0.008824,0.009136,0.007848,0.008066,5990000000
09/04/20,0.009829,0.009846,0.006727,0.008828,11360000000
09/03/20,0.010159,0.01085,0.009056,0.009831,8010000000
09/02/20,0.009753,0.010687,0.009658,0.010158,6610000000
09/01/20,0.009728,0.010253,0.008834,0.009753,5480000000
08/31/2020,0.010443,0.010497,0.008972,0.009724,7150000000
08/28/2020,0.00996,0.010968,0.009652,0.010443,16840000000
08/27/2020,0.009784,0.010319,0.008866,0.009958,15370000000
08/26/2020,0.009845,0.011493,0.007623,0.00978,38720000000
08/25/2020,0.010493,0.013928,0.009381,0.00985,71680000000
08/24/2020,0.005667,0.014008,0.005553,0.010489,100850000000
08/21/2020,0.004666,0.005676,0.004606,0.005661,8410000000
08/20/2020,0.004626,0.004756,0.004522,0.004666,3050000000
08/19/2020,0.004488,0.004718,0.004439,0.004627,3430000000
08/18/2020,0.004594,0.004622,0.004255,0.004488,3420000000
08/17/2020,0.004549,0.004732,0.004509,0.004594,3590000000
08/14/2020,0.004511,0.004818,0.004399,0.004548,5620000000
08/13/2020,0.004558,0.004659,0.004412,0.004508,5180000000
08/12/20,0.004573,0.004638,0.004384,0.004563,5340000000
08/11/20,0.003764,0.004594,0.003673,0.004573,6350000000
08/10/20,0.004515,0.004766,0.003604,0.003767,8030000000
08/07/20,0.004777,0.004866,0.004339,0.004514,8850000000
08/06/20,0.004645,0.005463,0.004339,0.004773,32480000000
08/05/20,0.003919,0.004721,0.003815,0.004641,23480000000
08/04/20,0.003862,0.004025,0.003799,0.003925,4570000000
08/03/20,0.003723,0.003985,0.003606,0.003863,4750000000
07/31/2020,0.003419,0.004127,0.003397,0.003723,9510000000
07/30/2020,0.003203,0.003439,0.003174,0.003423,1810000000
07/29/2020,0.003226,0.003262,0.003169,0.003204,1110000000
07/28/2020,0.003259,0.003285,0.003192,0.003224,1160000000
07/27/2020,0.003164,0.003278,0.003149,0.003259,1150000000
07/24/2020,0.003076,0.00319,0.003072,0.003164,1100000000
07/23/2020,0.003109,0.003114,0.003001,0.003075,996000000
07/22/2020,0.003158,0.003171,0.003058,0.003109,780000000
07/21/2020,0.003176,0.003191,0.003006,0.003158,1280000000
07/20/2020,0.003333,0.003368,0.003115,0.003176,1430000000
07/17/2020,0.003388,0.003407,0.003309,0.003335,1040000000
07/16/2020,0.003391,0.003447,0.003348,0.003388,1050000000
07/15/2020,0.003285,0.003411,0.003255,0.003391,1120000000
07/14/2020,0.003433,0.003449,0.003272,0.003282,1650000000
07/13/2020,0.003369,0.003522,0.003343,0.003433,1730000000
07/10/20,0.003327,0.003457,0.003274,0.003369,1800000000
07/09/20,0.003559,0.003585,0.003261,0.00332,2970000000
07/08/20,0.00344,0.003592,0.003408,0.003551,2450000000
07/07/20,0.003393,0.003532,0.003345,0.00344,1610000000
07/06/20,0.00327,0.003482,0.003236,0.003392,2140000000
07/02/20,0.003251,0.003359,0.003089,0.00327,2940000000
07/01/20,0.003716,0.003793,0.002945,0.003245,7720000000
06/30/2020,0.004232,0.004287,0.003598,0.003716,7730000000
06/29/2020,0.003682,0.004263,0.003551,0.00424,13300000000
06/26/2020,0.00334,0.003686,0.003231,0.003684,5150000000
06/25/2020,0.00351,0.003673,0.003159,0.00334,5990000000
06/24/2020,0.002987,0.003587,0.002983,0.00351,9100000000
06/23/2020,0.002906,0.003023,0.002904,0.002986,2780000000
06/22/2020,0.002908,0.002963,0.002856,0.002905,1900000000
06/19/2020,0.002935,0.003017,0.002817,0.002904,2870000000
06/18/2020,0.002879,0.002991,0.002874,0.002935,3210000000
06/17/2020,0.002773,0.003024,0.002745,0.002879,3970000000
06/16/2020,0.002766,0.00282,0.002732,0.002773,1320000000
06/15/2020,0.002811,0.002819,0.002708,0.002769,1880000000
06/12/20,0.002774,0.002855,0.002761,0.002811,1580000000
06/11/20,0.002757,0.002797,0.002725,0.002773,1150000000
06/10/20,0.00276,0.002863,0.00274,0.002757,1990000000
06/09/20,0.002671,0.002881,0.002632,0.00276,2520000000
06/08/20,0.002707,0.002786,0.002651,0.002673,1480000000
06/05/20,0.00267,0.002745,0.002645,0.002707,923000000
06/04/20,0.002757,0.002828,0.0026,0.00267,2240000000
06/03/20,0.002639,0.002815,0.002625,0.002757,2800000000
06/02/20,0.002546,0.002666,0.002546,0.002639,1290000000
06/01/20,0.002517,0.00256,0.002484,0.002546,1260000000
05/29/2020,0.002513,0.002529,0.002453,0.002517,1330000000
