Date,Open,High,Low,Close,Volume
09/15/2020,"118.33","118.83","113.61","115.54","184,642,000"
09/14/2020,"114.72","115.93","112.80","115.36","140,150,094"
09/11/2020,"114.57","115.23","110.00","112.00","180,860,297"
09/10/2020,"120.36","120.50","112.50","113.49","182,274,406"
09/09/2020,"117.26","119.14","115.26","117.32","176,940,500"
09/08/2020,"113.95","118.99","112.68","112.82","231,366,594"
09/04/2020,"120.07","123.70","110.89","120.96","332,607,188"
09/03/2020,"126.91","128.84","120.50","120.88","257,599,594"
09/02/2020,"137.59","137.98","127.00","131.40","200,119,016"
09/01/2020,"132.76","134.80","130.53","134.18","152,470,094"
08/31/2020,"127.58","131.00","126.00","129.04","225,702,703"
08/28/2020,"126.01","126.44","124.58","124.81","187,629,920"
08/27/2020,"127.14","127.49","123.83","125.01","155,552,408"
08/26/2020,"126.18","126.99","125.08","126.52","163,022,264"
08/25/2020,"124.70","125.18","123.05","124.83","211,495,812"
08/24/2020,"128.70","128.79","123.94","125.86","345,937,752"
08/21/2020,"119.26","124.87","119.25","124.37","338,054,656"
08/20/2020,"115.75","118.39","115.73","118.28","126,907,204"
08/19/2020,"115.98","117.16","115.61","115.71","145,538,000"
08/18/2020,"114.35","116.00","114.01","115.56","105,633,564"
08/17/2020,"116.06","116.09","113.96","114.61","119,561,436"
08/14/2020,"114.83","115.00","113.05","114.91","165,565,204"
08/13/2020,"114.43","116.04","113.93","115.01","210,082,080"
08/12/2020,"110.50","113.28","110.30","113.01","165,944,828"
08/11/2020,"111.97","112.48","109.11","109.38","187,902,376"
08/10/2020,"112.60","113.78","110.00","112.73","212,403,436"
08/07/2020,"113.21","113.68","110.29","111.11","198,045,592"
08/06/2020,"110.41","114.41","109.80","113.90","202,428,920"
08/05/2020,"109.38","110.39","108.90","110.06","121,991,960"
08/04/2020,"109.13","110.79","108.39","109.67","172,792,360"
08/03/2020,"108.20","111.64","107.89","108.94","308,151,408"
07/31/2020,"102.88","106.42","100.83","106.26","374,295,500"
07/30/2020,"94.19","96.30","93.77","96.19","158,130,048"
07/29/2020,"93.75","95.23","93.71","95.04","90,329,244"
07/28/2020,"94.37","94.55","93.25","93.25","103,625,524"
07/27/2020,"93.71","94.91","93.48","94.81","121,214,204"
07/24/2020,"90.99","92.97","89.15","92.62","185,438,876"
07/23/2020,"97.00","97.08","92.01","92.85","197,004,452"
07/22/2020,"96.69","97.98","96.60","97.27","89,001,640"
07/21/2020,"99.17","99.25","96.74","97.00","103,645,844"
07/20/2020,"96.42","98.50","96.06","98.36","90,317,920"
07/17/2020,"96.99","97.15","95.84","96.33","92,186,920"
07/16/2020,"96.56","97.41","95.91","96.52","110,577,680"
07/15/2020,"98.99","99.25","96.49","97.73","153,197,920"
07/14/2020,"94.84","97.26","93.88","97.06","170,989,360"
07/13/2020,"97.27","99.96","95.26","95.48","191,649,156"
07/10/2020,"95.34","95.98","94.71","95.92","90,257,320"
07/09/2020,"96.26","96.32","94.67","95.68","125,642,600"
07/08/2020,"94.18","95.38","94.09","95.34","117,091,884"
07/07/2020,"93.85","94.66","93.06","93.17","112,424,436"
07/06/2020,"92.50","93.95","92.47","93.46","118,655,640"
07/02/2020,"91.96","92.62","90.91","91.03","114,041,476"
07/01/2020,"91.28","91.84","90.98","91.03","110,737,244"
06/30/2020,"90.02","91.50","90.00","91.20","140,223,280"
06/29/2020,"88.31","90.54","87.82","90.45","130,646,080"
06/26/2020,"91.10","91.33","88.26","88.41","205,256,828"
06/25/2020,"90.18","91.25","89.39","91.21","137,522,532"
06/24/2020,"91.25","92.20","89.63","90.02","192,623,392"
06/23/2020,"91.00","93.10","90.57","91.63","212,155,484"
06/22/2020,"87.84","89.87","87.79","89.72","135,445,280"
06/19/2020,"88.66","89.14","86.29","87.43","264,475,812"
06/18/2020,"87.85","88.36","87.31","87.93","96,820,400"
06/17/2020,"88.79","88.85","87.77","87.90","114,406,524"
06/16/2020,"87.87","88.30","86.18","88.02","165,428,720"
06/15/2020,"83.31","86.42","83.15","85.75","138,808,920"
06/12/2020,"86.18","86.95","83.56","84.70","200,146,048"
06/11/2020,"87.33","87.77","83.87","83.98","201,662,436"
06/10/2020,"86.98","88.69","86.52","88.21","166,651,764"
06/09/2020,"83.04","86.40","83.00","86.00","147,712,360"
06/08/2020,"82.56","83.40","81.83","83.37","95,654,524"
06/05/2020,"80.84","82.94","80.81","82.88","137,250,204"
06/04/2020,"81.10","81.41","80.20","80.58","87,560,360"
06/03/2020,"81.17","81.55","80.58","81.28","104,491,204"
06/02/2020,"80.19","80.86","79.73","80.84","87,642,796"
06/01/2020,"79.44","80.59","79.30","80.46","81,018,600"
05/29/2020,"79.81","80.29","79.12","79.49","153,598,108"
05/28/2020,"79.19","80.86","78.91","79.56","133,796,408"
05/27/2020,"79.04","79.68","78.27","79.53","112,945,080"
05/26/2020,"80.88","81.06","79.13","79.18","125,521,796"
05/22/2020,"78.94","79.81","78.84","79.72","81,803,000"
05/21/2020,"79.67","80.22","78.97","79.21","102,688,844"
05/20/2020,"79.17","79.88","79.05","79.81","111,504,884"
05/19/2020,"78.76","79.63","78.25","78.29","101,729,564"
05/18/2020,"78.29","79.13","77.58","78.74","135,372,516"
05/15/2020,"75.09","76.98","75.05","76.93","166,348,360"
05/14/2020,"76.13","77.45","75.38","77.39","158,929,092"
05/13/2020,"78.04","78.99","75.80","76.91","200,622,564"
05/12/2020,"79.46","79.92","77.73","77.85","162,301,048"
05/11/2020,"77.03","79.26","76.81","78.75","145,946,236"
05/08/2020,"76.41","77.59","76.07","77.53","134,047,952"
05/07/2020,"75.81","76.29","75.49","75.94","115,215,040"
05/06/2020,"75.12","75.81","74.72","75.16","142,333,764"
05/05/2020,"73.77","75.25","73.62","74.39","147,751,204"
05/04/2020,"72.29","73.42","71.58","73.29","133,567,952"
05/01/2020,"71.56","74.75","71.46","72.27","240,616,720"
04/30/2020,"72.49","73.63","72.09","73.45","183,063,876"
04/29/2020,"71.18","72.42","70.97","71.93","137,280,796"
04/28/2020,"71.27","71.46","69.55","69.65","112,004,756"
04/27/2020,"70.45","71.14","69.99","70.79","117,087,564"
04/24/2020,"69.30","70.75","69.25","70.74","126,508,720"
04/23/2020,"68.97","70.44","68.72","68.76","124,814,320"
04/22/2020,"68.40","69.48","68.05","69.03","117,057,360"
04/21/2020,"69.07","69.31","66.36","67.09","180,991,548"
04/20/2020,"69.49","70.42","69.21","69.23","130,015,000"
04/17/2020,"71.17","71.74","69.22","70.70","215,249,920"
04/16/2020,"71.85","72.05","70.59","71.67","157,125,156"
04/15/2020,"70.60","71.58","70.16","71.11","131,154,564"
04/14/2020,"70.00","72.06","69.51","71.76","194,994,688"
04/13/2020,"67.08","68.43","66.46","68.31","131,022,920"
04/09/2020,"67.18","67.52","66.18","67.00","162,116,484"
04/08/2020,"65.69","66.84","65.31","66.52","168,895,280"
04/07/2020,"67.70","67.93","64.75","64.86","202,887,328"
04/06/2020,"62.73","65.78","62.35","65.62","200,337,200"
04/03/2020,"60.70","61.43","59.74","60.35","129,880,080"
04/02/2020,"60.09","61.29","59.23","61.23","165,933,952"
04/01/2020,"61.63","62.18","59.78","60.23","176,218,564"
03/31/2020,"63.90","65.62","63.00","63.57","197,002,000"
03/30/2020,"62.69","63.88","62.35","63.70","167,976,452"
03/27/2020,"63.19","63.97","61.76","61.94","204,216,608"
03/26/2020,"61.63","64.67","61.59","64.61","252,560,672"
03/25/2020,"62.69","64.56","61.08","61.38","303,602,064"
03/24/2020,"59.09","61.92","58.58","61.72","287,531,064"
03/23/2020,"57.02","57.12","53.15","56.09","336,752,844"
03/20/2020,"61.80","62.96","57.00","57.31","401,693,188"
03/19/2020,"61.85","63.21","60.65","61.20","271,857,032"
03/18/2020,"59.94","62.50","59.28","61.67","300,233,624"
03/17/2020,"61.88","64.40","59.60","63.22","324,055,876"
03/16/2020,"60.49","64.77","60.00","60.55","322,423,500"
